No,date,TimeBarStart,year,month,day,hour,minute,ticker,call,strike,expiration_date,option_price,underlying_price,moneyness,days_to_ex,std_underlying,treasury_rate
2385,20220209,2:40:00 PM,2022,2,9,14,40,SPY,C,500,6/17/2022,2.84,457.51,0.91502,92,0.000297836,0.27
2386,20220209,2:42:00 PM,2022,2,9,14,42,SPY,C,500,6/17/2022,2.83,457.425,0.91485,92,0.000327913,0.27
2387,20220209,2:47:00 PM,2022,2,9,14,47,SPY,C,500,6/17/2022,2.84,457.275,0.91455,92,0.000371389,0.27
2388,20220209,2:49:00 PM,2022,2,9,14,49,SPY,C,500,6/17/2022,2.8,457.14,0.91428,92,0.000392073,0.27
2389,20220209,2:50:00 PM,2022,2,9,14,50,SPY,C,500,6/17/2022,2.8,457.175,0.91435,92,0.00039409,0.27
2390,20220209,2:51:00 PM,2022,2,9,14,51,SPY,C,500,6/17/2022,2.79,457.295,0.91459,92,0.000254857,0.27
2391,20220209,2:52:00 PM,2022,2,9,14,52,SPY,C,500,6/17/2022,2.8,457.245,0.91449,92,0.000250223,0.27
2392,20220209,2:53:00 PM,2022,2,9,14,53,SPY,C,500,6/17/2022,2.77,457.15,0.9143,92,0.000224779,0.27
2393,20220209,2:56:00 PM,2022,2,9,14,56,SPY,C,500,6/17/2022,2.77,456.945,0.91389,92,0.000271381,0.27
2394,20220209,3:03:00 PM,2022,2,9,15,3,SPY,C,500,6/17/2022,2.7,456.495,0.91299,92,0.000461573,0.27
2395,20220209,3:26:00 PM,2022,2,9,15,26,SPY,C,500,6/17/2022,2.71,456.295,0.91259,92,0.000339163,0.27
2396,20220209,3:32:00 PM,2022,2,9,15,32,SPY,C,500,6/17/2022,2.85,457.36,0.91472,92,0.001307734,0.27
2397,20220209,3:33:00 PM,2022,2,9,15,33,SPY,C,500,6/17/2022,2.85,457.335,0.91467,92,0.001301941,0.27
2398,20220209,3:34:00 PM,2022,2,9,15,34,SPY,C,500,6/17/2022,2.85,457.435,0.91487,92,0.001267779,0.27
2399,20220209,3:36:00 PM,2022,2,9,15,36,SPY,C,500,6/17/2022,2.87,457.475,0.91495,92,0.001092682,0.27
2400,20220209,3:37:00 PM,2022,2,9,15,37,SPY,C,500,6/17/2022,2.89,457.615,0.91523,92,0.000990908,0.27
2401,20220209,3:40:00 PM,2022,2,9,15,40,SPY,C,500,6/17/2022,2.85,456.94,0.91388,92,0.000734754,0.27
2402,20220209,3:43:00 PM,2022,2,9,15,43,SPY,C,500,6/17/2022,2.76,456.645,0.91329,92,0.000756064,0.27
2403,20220209,3:44:00 PM,2022,2,9,15,44,SPY,C,500,6/17/2022,2.8,456.875,0.91375,92,0.000813655,0.27
2404,20220209,3:49:00 PM,2022,2,9,15,49,SPY,C,500,6/17/2022,2.82,457.16,0.91432,92,0.000899247,0.27
2405,20220209,3:55:00 PM,2022,2,9,15,55,SPY,C,500,6/17/2022,2.83,456.975,0.91395,92,0.000867227,0.27
2406,20220209,3:56:00 PM,2022,2,9,15,56,SPY,C,500,6/17/2022,2.76,457.185,0.91437,92,0.000586714,0.27
